sample,base_f1,adaptive_f1,compression_ratio
0,0.0,0.15384615384615385,0.5925405421010954
1,0.3157894736842105,0.0,0.5923511471832849
2,0.4,0.4,0.5921270935389912
3,0.2105263157894737,0.2105263157894737,0.5925031816078276
4,0.15384615384615383,0.22222222222222224,0.5919649633711721
5,1.0,0.5,0.5920573777263715
6,0.5,0.5,0.5918752068166777
7,0.0,0.0,0.5920163011115522
8,0.5,0.0,0.5919650248344371
9,0.0,0.0,0.5920163011115522
10,0.1,0.06666666666666667,0.5926495030279094
11,0.0,0.0,0.5921680746594365
12,0.0,0.0,0.5921029791032932
13,0.0,0.0,0.592318654990086
14,0.0,0.0,0.5920911744278343
15,0.0,0.30769230769230765,0.5925031816078276
16,0.0,0.1904761904761905,0.5926221245372819
17,0.1904761904761905,0.19354838709677416,0.5926495030279094
18,0.2,0.0,0.5921540532505285
19,0.0,0.0,0.5918765310513772
20,0.0,0.0,0.5925538721928666
21,0.6666666666666666,0.6666666666666666,0.5922845753469927
22,0.0,0.0,0.5924508450191824
23,0.0,0.0,0.5920274450767602
24,0.26666666666666666,0.5454545454545454,0.5924050476001587
25,0.0,0.0,0.5920190620447623
26,0.34782608695652173,0.1290322580645161,0.5924948060941828
27,0.0,0.0,0.5920132005022469
28,0.28571428571428575,0.5,0.5921242475856595
29,0.3333333333333333,0.3333333333333333,0.5920911744278343
