sample,base_f1,adaptive_f1,compression_ratio
0,0.14634146341463417,0.13953488372093023,0.5937554961966319
1,0.17777777777777776,0.17777777777777776,0.5937115316978809
2,0.0,0.0,0.5937568729656022
3,0.24489795918367344,0.24489795918367344,0.5937115316978809
4,0.0,0.0,0.5936223144853038
5,0.0,0.0,0.5936635603266597
6,0.10810810810810811,0.10256410256410256,0.5937115316978809
7,0.0,0.0,0.5937101735882224
8,0.09756097560975609,0.09756097560975609,0.5937128908827022
9,0.0,0.0,0.5937101735882224
10,0.0,0.0,0.5936608866368343
11,0.0392156862745098,0.0784313725490196,0.5936662382458916
12,0.0,0.0,0.5936223144853038
13,0.1176470588235294,0.1176470588235294,0.5936648987569728
14,0.0625,0.0625,0.5937115316978809
15,0.3125,0.27906976744186046,0.5937101735882224
16,0.14545454545454545,0.14545454545454545,0.5937128908827022
17,0.0,0.0,0.5936608866368343
18,0.04878048780487805,0.04878048780487805,0.5936622229536976
19,0.0,0.0,0.5937115316978809
20,0.09523809523809523,0.09523809523809523,0.5937088165524512
21,0.05555555555555556,0.05555555555555556,0.5937088165524512
22,0.0,0.0,0.5937568729656022
23,0.0,0.0,0.5936675787946722
24,0.2222222222222222,0.2222222222222222,0.5936675787946722
25,0.06896551724137931,0.0606060606060606,0.5937568729656022
26,0.196078431372549,0.1818181818181818,0.5937101735882224
27,0.05405405405405406,0.05405405405405406,0.5936702630768554
28,0.09523809523809523,0.09523809523809523,0.5936236374824191
29,0.05,0.05128205128205128,0.5936675787946722
