sample,base_f1,adaptive_f1,compression_ratio
0,0.03571428571428571,0.08333333333333334,0.5919053245637229
1,0.038461538461538464,0.03571428571428571,0.5919053245637229
2,0.0,0.0,0.5919053245637229
3,0.11320754716981131,0.14545454545454545,0.5919053245637229
4,0.04081632653061225,0.03508771929824561,0.5919053245637229
5,0.0,0.0,0.5919053245637229
6,0.0,0.0,0.5919053245637229
7,0.0,0.0,0.5919053245637229
8,0.0,0.0,0.5919053245637229
9,0.0,0.0,0.5919053245637229
10,0.0,0.037037037037037035,0.5919053245637229
11,0.045454545454545456,0.0,0.5919053245637229
12,0.0,0.0,0.5919053245637229
13,0.0,0.048780487804878044,0.5919053245637229
14,0.0,0.05128205128205127,0.5919053245637229
15,0.0,0.0,0.5919053245637229
16,0.04545454545454545,0.0,0.5919053245637229
17,0.03773584905660377,0.03636363636363636,0.5919053245637229
18,0.0606060606060606,0.0,0.5919053245637229
19,0.0,0.0,0.5919053245637229
20,0.0,0.08333333333333333,0.5919053245637229
21,0.0,0.0,0.5919053245637229
22,0.0,0.06451612903225806,0.5919053245637229
23,0.04545454545454545,0.04347826086956522,0.5919053245637229
24,0.0,0.0,0.5919053245637229
25,0.0625,0.0,0.5919053245637229
26,0.11764705882352941,0.11320754716981131,0.5919053245637229
27,0.0,0.0,0.5919053245637229
28,0.03703703703703703,0.0,0.5919053245637229
29,0.0,0.0,0.5919053245637229
