sample,base_f1,adaptive_f1,compression_ratio
0,0.1276595744680851,0.21739130434782608,0.5918999967001056
1,0.2,0.13333333333333333,0.5918986673703654
2,0.039215686274509796,0.05263157894736842,0.591944100660066
3,0.17241379310344826,0.21052631578947367,0.5919427536949063
4,0.07017543859649122,0.07407407407407407,0.5918092365506329
5,0.0,0.07692307692307693,0.5918506637896956
6,0.0,0.0,0.5918545926781003
7,0.047619047619047616,0.0,0.5919414077958053
8,0.05,0.046511627906976744,0.591944100660066
9,0.0,0.0,0.5919414077958053
10,0.07017543859649124,0.10714285714285714,0.5918493562302424
11,0.04081632653061225,0.04347826086956521,0.5918532820123962
12,0.0,0.0,0.5918960118655241
13,0.08888888888888889,0.09756097560975609,0.5918960118655241
14,0.0,0.0,0.5918545926781003
15,0.20833333333333334,0.2222222222222222,0.5919427536949063
16,0.14285714285714285,0.13333333333333333,0.5918999967001056
17,0.10344827586206896,0.10526315789473682,0.5918493562302424
18,0.0425531914893617,0.04166666666666667,0.5917626547885654
19,0.03571428571428572,0.04166666666666667,0.5918559043816815
20,0.1509433962264151,0.1509433962264151,0.5918092365506329
21,0.044444444444444446,0.047619047619047616,0.5918092365506329
22,0.03333333333333333,0.04081632653061224,0.591944100660066
23,0.0,0.0,0.5918986673703654
24,0.13636363636363635,0.13043478260869565,0.5918986673703654
25,0.16666666666666666,0.5,0.591944100660066
26,0.16949152542372883,0.09836065573770493,0.5918545926781003
27,0.12,0.07692307692307691,0.5918572171243729
28,0.13333333333333333,0.1777777777777778,0.5919414077958053
29,0.0,0.0,0.5918545926781003
