sample,base_f1,adaptive_f1,compression_ratio
0,0.16216216216216217,0.16216216216216217,0.5937197029790234
1,0.07692307692307693,0.08,0.5937197029790234
2,0.0,0.0,0.5937197029790234
3,0.10344827586206895,0.10344827586206895,0.5937197029790234
4,0.0,0.0,0.5937197029790234
5,0.0,0.0,0.5937197029790234
6,0.0,0.0,0.5937197029790234
7,0.0,0.0,0.5937197029790234
8,0.0,0.0,0.5937197029790234
9,0.0,0.0,0.5937197029790234
10,0.04166666666666667,0.044444444444444446,0.5937197029790234
11,0.0,0.09523809523809525,0.5937197029790234
12,0.0,0.0,0.5937197029790234
13,0.0,0.0,0.5937197029790234
14,0.0689655172413793,0.0689655172413793,0.5937197029790234
15,0.0,0.0,0.5937197029790234
16,0.0,0.0,0.5937197029790234
17,0.04081632653061225,0.043478260869565216,0.5937197029790234
18,0.06896551724137932,0.06896551724137932,0.5937197029790234
19,0.0,0.0,0.5937197029790234
20,0.0851063829787234,0.0851063829787234,0.5937197029790234
21,0.0,0.0,0.5937197029790234
22,0.0,0.0,0.5937197029790234
23,0.0,0.0,0.5937197029790234
24,0.0,0.0,0.5937197029790234
25,0.07142857142857142,0.07142857142857142,0.5937197029790234
26,0.03571428571428571,0.03571428571428571,0.5937197029790234
27,0.0,0.0,0.5937197029790234
28,0.0,0.0,0.5937197029790234
29,0.07142857142857142,0.07142857142857142,0.5937197029790234
